Country Name,Country Code,Region,Income Group,CO2 emissions Tg,Population millions,GDP million US dollar
Slovak Republic,SVK,Eur&C.Asia,H,30.67812,5.418649,100948
Equatorial Guinea,GNQ,SubSahar,H,5.34649,1.129424,21736.5
Czech Republic,CZE,Eur&C.Asia,H,96.4751,10.525347,207818
Estonia,EST,Eur&C.Asia,H,19.51944,1.314545,26224.62
Trinidad and Tobago,TTO,LatAm&Car,H,46.27387,1.354493,27199.86
Cyprus,CYP,Eur&C.Asia,H,6.06155,1.152309,23359.29
Oman,OMN,MidEas&N.Afr,H,61.16923,3.960925,81076.72
Greece,GRC,Eur&C.Asia,H,67.31879,10.892413,237030
Portugal,PRT,Eur&C.Asia,H,45.05276,10.401062,229630
Slovenia,SVN,Eur&C.Asia,H,12.8125,2.06198,49904.93
Saudi Arabia,SAU,MidEas&N.Afr,H,601.04697,30.776722,756350
Bahrain,BHR,MidEas&N.Afr,H,31.33818,1.336397,33387.71
Malta,MLT,MidEas&N.Afr,H,2.34688,0.434558,11234.05
"Korea, Rep.",KOR,EasAsi&Pac,H,587.15637,50.746659,1411330
"Bahamas, The",BHS,LatAm&Car,H,2.41655,0.382169,10957.3
Puerto Rico,PRI,LatAm&Car,H,,3.534874,102446
Spain,ESP,Eur&C.Asia,H,233.9766,46.480882,1376910
Virgin Islands (U.S.),VIR,LatAm&Car,H,,0.107884,3624
Guam,GUM,EasAsi&Pac,H,,0.160967,5531
Italy,ITA,Eur&C.Asia,H,320.41146,60.78914,2151730
Israel,ISR,MidEas&N.Afr,H,64.60154,8.2157,308417
Japan,JPN,EasAsi&Pac,H,1214.04836,127.276,4850410
"Hong Kong SAR, China",HKG,EasAsi&Pac,H,46.22254,7.2295,291459
Brunei Darussalam,BRN,EasAsi&Pac,H,9.10883,0.411704,17098.34
Andorra,AND,Eur&C.Asia,H,0.46204,0.079223,3350.74
Kuwait,KWT,MidEas&N.Afr,H,95.40801,3.78245,162631
France,FRA,Eur&C.Asia,H,303.27557,66.316092,2852170
United Arab Emirates,ARE,MidEas&N.Afr,H,211.36955,9.070867,403137
New Zealand,NZL,EasAsi&Pac,H,34.66415,4.5097,200955
United Kingdom,GBR,Eur&C.Asia,H,419.82016,64.61316,3022830
Belgium,BEL,Eur&C.Asia,H,93.35082,11.209057,530771
Germany,DEU,Eur&C.Asia,H,719.88344,80.9825,3890610
Finland,FIN,Eur&C.Asia,H,47.30063,5.461512,272609
Greenland,GRL,Eur&C.Asia,H,0.50605,0.056295,2837.74
Canada,CAN,N.Am,H,537.1935,35.535348,1799270
Austria,AUT,Eur&C.Asia,H,58.71234,8.546356,441885
Netherlands,NLD,Eur&C.Asia,H,167.30321,16.865008,879635
Iceland,ISL,Eur&C.Asia,H,1.98385,0.327386,17304.03
United States,USA,N.Am,H,5254.27929,318.622525,17427600
Ireland,IRL,Eur&C.Asia,H,34.06643,4.65774,258099
San Marino,SMR,Eur&C.Asia,H,,0.032657,1845.56
Singapore,SGP,EasAsi&Pac,H,56.37279,5.469724,311539
Faroe Islands,FRO,Eur&C.Asia,H,0.59772,0.048842,2810.55
